city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
minas gerais,11.96,8.32,3.23,1.36,10.97,6.41,35.75,26.53
ate 5.000 ,19.13,14.59,5.11,2.12,18.08,11.77,47.19,38.58
acaiaca,18.97,13.94,5.22,2.45,17.55,9.61,46.25,39.39
agua comprida,9.84,7.87,3.2,1.71,8.36,6.29,27.65,20.0
aguanil,17.96,13.15,3.92,1.8,14.13,10.04,49.89,34.48
alagoa,17.16,14.44,3.36,2.24,14.46,12.21,43.49,33.5
albertina,16.14,11.94,1.91,1.26,13.93,8.63,48.87,37.11
alvarenga,24.82,18.13,7.52,2.17,24.74,14.15,55.43,48.25
alvorada de minas,28.1,20.6,13.08,5.56,28.31,21.13,55.49,44.97
antonio prado de minas,13.1,11.08,1.63,2.05,10.92,7.46,34.98,26.85
aracai,9.01,10.29,1.64,1.61,8.35,8.17,26.27,28.01
aracitaba,19.65,12.6,6.74,1.25,16.94,10.31,45.29,29.21
arantina,15.11,10.34,3.16,2.04,10.28,6.13,50.57,31.62
arapua,12.96,7.98,1.5,-,10.08,4.11,39.71,24.85
argirita,13.79,10.47,4.03,1.27,10.18,6.48,35.97,27.97
aricanduva,30.14,21.37,7.05,1.44,33.52,20.46,69.29,58.9
augusto de lima,18.66,14.47,6.47,2.92,15.77,11.93,50.73,36.93
bandeira,37.99,30.6,11.08,3.99,40.67,25.98,78.21,71.69
belmiro braga,15.5,12.81,3.75,2.29,14.3,9.75,35.75,32.03
berizal,32.11,24.84,8.32,2.92,35.46,22.8,81.33,70.22
bertopolis,36.06,29.61,15.94,13.02,37.61,25.11,73.22,65.31
bias fortes,18.32,15.05,6.59,2.21,17.61,13.13,39.16,31.74
biquinhas,16.67,10.88,2.98,1.02,13.48,6.35,44.66,29.46
bom jesus da penha,13.21,11.1,2.31,1.18,10.91,7.75,38.96,33.21
bras pires,14.29,13.53,2.76,1.62,11.83,8.98,39.87,37.14
bugre,26.9,18.74,5.15,2.99,26.62,13.46,63.03,52.37
cachoeira da prata,5.81,3.89,1.47,0.52,4.59,2.25,16.74,12.0
cachoeira dourada,20.15,12.2,4.87,0.95,17.24,8.35,51.51,39.47
caiana,20.32,13.4,9.37,2.44,19.7,12.63,42.19,35.14
cajuri,16.46,11.53,4.98,0.71,14,9.05,48.88,32.59
camacho,21.31,13.09,3.27,0.94,22.33,9.27,55.2,41.14
campanario,23.38,17.74,7.87,1.85,20.79,15.39,61.34,48.03
campo azul,25.8,21.54,4.38,2.21,24.73,15.95,64.95,60.0
canaa,20.91,14.63,6.75,1.9,21.36,13.11,44.1,34.01
cantagalo,22.22,15.38,7.04,2.3,22.48,14.61,49.88,38.96
capela nova,14.42,10.76,3.66,0.84,11.99,8.2,36.54,27.22
capitao andrade,26.75,17.65,5.77,2.8,26.62,13.72,56.87,46.5
caranaiba,14.72,9.05,3.47,0.36,13.53,6.19,40.88,29.56
carmesia,20.84,15.19,4.21,0.49,19.42,12.89,52.67,39.77
carrancas,12.16,8.0,2.11,1.12,10.57,4.6,33.26,26.06
carvalhopolis,10.35,8.35,1.84,1.7,6.93,4.86,31.59,24.22
carvalhos,18.81,15.2,5.5,2.61,16.83,13.05,43.02,35.08
casa grande,11.6,5.89,2.97,0.85,10.86,5.12,28.36,13.57
cascalho rico,7.56,6.53,0.65,0.5,4.8,4.63,28.66,17.27
catas altas,14.1,6.17,3.56,1.11,14.15,4.57,39.88,21.46
catas altas da noruega,17.02,13.56,4.86,1.66,16.25,11.7,46.01,37.67
cedro do abaete,18.22,14.16,4.98,1.72,15.45,8.36,45.68,40.0
chacara,15.89,11.59,4.34,2.35,14.85,8.61,32.91,28.82
chiador,18.4,11.27,7.13,2.94,17.49,9.27,37.6,25.4
claraval,13.65,8.0,2.42,1.16,13.4,5.89,37.03,25.27
comendador gomes,10.62,8.71,2.1,2.94,9.12,7.12,34.85,23.48
conceicao da barra de minas,10.98,8.28,2.45,1.47,9.88,5.2,32.52,27.59
conceicao das pedras,12.54,9.52,3.54,1.62,9.96,6.44,38.83,29.16
conceicao de ipanema,23.58,15.32,4.18,2.95,22.38,12.34,51.18,35.23
congonhas do norte,29.92,26.4,12.28,4.99,30.61,24.53,57.34,58.33
consolacao,19.44,13.03,7.22,2.65,15.65,9.35,48.6,31.37
cordislandia,15.93,14.08,4.41,2.65,14.95,12.31,40.54,34.51
coronel pacheco,15.96,11.47,4.55,1.43,12.86,7.87,44.44,33.77
coronel xavier chaves,9.14,5.99,1.9,1.17,8.94,4.81,23.87,15.32
corrego danta,14,9.19,4.01,1.03,11.96,7.33,35.5,20.26
corrego do bom jesus,14.07,12.22,1.62,1.84,9.35,6.94,41.41,30.83
corrego novo,25.13,21.38,7.12,3.11,25.75,18.22,52.09,52.22
couto de magalhaes de minas,16.6,11.53,3.46,0.61,16.12,9.12,45.29,37.09
crucilandia,18.12,13.78,3.51,0.85,15.75,9.66,47.04,38.79
cruzeiro da fortaleza,7.68,10.22,0.91,0.73,6.77,7.63,23.97,34.57
cuparaque,25.9,21.52,7.58,4.03,23.89,19.25,66.11,54.78
descoberto,14.48,8.44,4,0.76,13.18,7.18,31.62,20.6
desterro do melo,23.46,17.64,5.72,1.28,21.94,13.85,54.36,45.13
diogo de vasconcelos,25.59,17.31,6.05,1.73,24.5,14.19,49.5,39.44
divinesia,15.82,9.21,4.79,2.22,12.94,7.63,41.56,24.14
divino das laranjeiras,24.59,18.38,4.71,1.23,23.11,13.97,61.45,48.59
dom bosco,14.78,15.68,3.13,2.73,13.64,13.21,50.16,47.49
dom joaquim,26.54,16.65,7.42,2.96,26.07,13.72,51.78,39.55
dom vicoso,15.52,10.15,2.19,1.14,13.58,7.0,42.16,28.98
dores do turvo,20.5,15.07,5.47,2.71,18.57,11.62,50.27,37.64
doresopolis,11.2,6.65,4.15,2.35,9.89,5.23,31.01,17.02
douradoquara,12.59,7.31,2.01,0.33,10.63,5.26,36.87,20.75
espirito santo do dourado,16.16,11.22,2.62,1.34,14.09,6.89,44.07,34.69
estrela dalva,18.12,16.32,5.32,2.58,17.13,12.03,39,41.77
estrela do indaia,15.48,13.52,4.2,2.03,14.63,10.71,34.31,29.95
ewbank da camara,12.68,10.36,3.75,1.74,11.7,7.84,36.39,35.87
fama,11.79,9.95,2.78,0.85,9.64,7.58,30.19,24.39
faria lemos,18.41,14.38,7.77,2.45,17.7,12.55,34.15,31.81
fernandes tourinho,25.48,21.69,4.21,3.15,23.3,15.17,59.2,62.39
fortaleza de minas,14.76,9.07,3.55,0.89,13.05,6.09,41.87,29.91
fortuna de minas,12.23,8.48,3.3,1.71,12.36,7.41,31.22,21.7
francisco dumont,24.32,18.77,8.21,3.18,24.8,17.21,57.14,50.09
frei lagonegro,28.9,22.37,6.27,3.02,31.29,20.82,67.73,59.28
fronteira dos vales,40.71,30.77,11.3,3.41,46,26.57,82.87,70.64
funilandia,15.62,13.03,5.57,2.63,15.85,11.35,36.63,33.06
glaucilandia,17.24,13.07,3.26,1.2,16.5,9.04,51.74,40.49
goiabeira,27.6,22.3,8.23,2.52,26.08,19.1,62.73,56.97
goiana,12.2,10.52,2.33,1.25,9.35,7.18,32.28,28.25
goncalves,15.82,13.38,3.03,1.94,14.43,10.9,41.82,32.1
grupiara,10.9,7.91,2.85,0.5,7.34,6.34,35.26,19.55
guaraciama,22.58,17.55,3.03,1.5,25.03,15.42,63.88,52.24
guarara,12.63,8.59,3.34,0.93,11.99,6.18,30.49,25.36
ibitiura de minas,14.15,11.57,3.3,2.45,12.11,8.07,38.34,32.48
ibituruna,14.21,10.62,3.81,1.69,12.38,7.88,39.04,29.93
ingai,11.77,8.16,2.95,2.27,9.75,5.01,37.5,27.65
ipiacu,18,15.98,3.48,2.11,14.88,10.78,53.14,46.32
itacambira,22.23,16.05,5.88,1.16,25.55,14.33,57.06,48.14
itamarati de minas,13.16,7.51,3.82,1.25,9.38,4.79,37.47,23.48
itambe do mato dentro,23.57,19.02,3.53,4.58,20.79,14.31,61.1,47.2
itutinga,11.06,6.41,1.95,1.2,9.11,4.51,36.5,19.63
jaguaracu,14.02,10.33,3.21,1.88,13.72,7.79,40.91,32.51
japaraiba,9.93,7.06,3.06,0.83,8.59,5.84,38.1,25.75
jesuania,16.19,11.06,3.36,2.69,15.83,7.92,39.02,31.37
joaquim felicio,23.32,15.52,8.25,1.97,24.58,14.58,49.33,36.65
jose goncalves de minas,29.69,19.34,7.2,2.57,37.7,19.72,76.56,70.27
jose raydan,31.62,22.38,7.41,2.5,31.96,18.21,64.31,57.5
josenopolis,40.62,28.86,12.08,4.2,48.46,29.76,80.39,76.44
juramento,20.32,16.17,4.43,2.48,20.42,13.29,60,48.56
lagoa dos patos,21.87,15.99,6.3,3.05,23.15,13.32,61.6,48.16
lamim,15.42,13.22,3.6,2.27,14.89,11.28,36.91,29.27
leandro ferreira,15.29,11.77,2.6,1.09,15.4,9.94,33.59,29.77
leme do prado,21.86,17.42,4.55,1.74,24.2,16.24,66.27,60.65
madre de deus de minas,11.47,7.24,3.15,1.66,9.56,4.73,34.3,22.22
marilac,29.98,19.5,6.23,2.5,28.61,13.85,71.86,59.97
maripa de minas,11.96,10.57,3.23,2.29,11.58,8.55,23.81,24.45
marlieria,14.14,11.62,2.02,1.78,13.42,9.86,37.71,26.89
marmelopolis,16.23,10.28,4.4,1.94,14.25,8.59,50.18,27.51
materlandia,28.49,22.59,7.53,2.13,27.7,18.72,64.34,57.04
mathias lobato,27.33,20.42,7.27,1.99,27.38,18.39,75.85,60.93
matutina,14.56,11.63,2.38,1.1,11.58,7.66,39.7,29.91
medeiros,10.7,5.94,1.94,0.36,9.29,4.01,35.91,22.03
minduri,13.93,8.13,3.32,1.53,11.69,5.95,41.67,24.6
miravania,31.64,25.97,7.31,4.6,33.17,24.21,75.62,64.49
moeda,11.34,8.18,3.01,1.51,9.65,6.4,26.91,18.87
monjolos,23.55,15.98,9.75,3.68,24.28,13.77,50.41,39.24
monte formoso,39.17,29.01,15.04,4.16,42.68,27.21,78.55,71.38
morro da garca,17.61,10.62,6.19,1.54,17.2,8.27,44.23,30.23
morro do pilar,27.62,24.49,5.04,3.33,29.69,23.02,51.68,50.18
nacip raydan,28.66,22.35,7.69,4.76,27.93,18.13,60.6,52.95
natalandia,18.54,14.32,4.57,0.66,17.64,11.7,60.57,49.42
natercia,12.93,9.77,2.12,2.6,10.02,7.04,36.72,23.57
nova belem,28.13,24.27,10.99,3.92,31.95,21.89,65.93,67.27
nova modica,31.19,23.99,5.6,2.34,32.11,18.24,72.83,64.35
novorizonte,27.96,21.86,5.41,1.15,28.35,16.62,63.44,60.49
olaria,17.03,17.68,4.2,3.6,15.83,13.19,40.36,42.99
olimpio noronha,14.4,14.29,2,1.29,13.5,8.98,37.55,43.15
oliveira fortes,20.03,16.44,5.45,3.47,19.52,14.79,44.03,37.67
onca de pitangui,15.86,11.14,4.29,1.43,15.62,7.76,39.75,35.77
oratorios,20.64,15.82,4.17,1.42,22.66,13.38,47.85,44.68
paineiras,14.04,10.96,2.74,1.21,11.13,7.29,42.03,29.61
paiva,16.48,12.86,3.22,1.73,13.73,10.01,43.56,29.21
passabem,21.01,17.76,3.47,2.52,21.77,16.94,41.14,34.13
passa-vinte,17.62,13.31,3.33,0.91,15.6,9.45,48.36,38.01
paulistas,25.04,20.05,5.19,2.69,24.64,16.29,54.55,49.48
pedra do anta,21.78,19.38,6.45,2.12,21.74,16.6,43.38,41.56
pedra do indaia,16.79,10.85,2.71,0.51,13.75,6.4,49.12,35.63
pedra dourada,17.71,13.09,5.56,1.06,16.3,10.07,47.51,42.75
pedrinopolis,10.66,10.23,1.63,1.43,8.87,7.4,32.97,31.1
pedro teixeira,17.62,11.53,3.21,1.54,17.56,7.75,46.02,38.22
pequeri,9.29,8.12,2.3,0.74,7.42,7.0,26.65,20.26
pequi,11.5,8.31,4.19,1.27,10.03,6.35,26.38,22.53
pescador,27.12,19.52,4.58,2.26,26.14,14.89,66.38,55.39
piau,13.57,13.81,1.86,3.31,13.12,10.96,31.2,30.31
piedade de ponte nova,21.32,15.91,6.99,2.32,21.83,15.67,45.43,36.53
piedade do rio grande,20.02,13.8,4.19,0.91,18.87,10.71,46.35,32.81
piedade dos gerais,19.94,14.73,5.06,2.39,17.57,11.34,50.09,36.54
pingo-d'agua,21.19,17.5,4.42,2.26,22.44,14.2,58.59,51.87
pirajuba,12.43,9.01,3.91,2.89,11.02,8.25,28.49,23.66
ponto chique,22.49,16.09,5.34,3.08,24.11,12.54,67.64,54.7
pratinha,15.34,11.5,4.15,2.58,13.75,8.82,38.62,28.27
presidente juscelino,23.04,19.64,5.57,2.47,24.68,15.16,52.9,53.77
presidente kubitschek,19.04,13.28,3.53,1.25,21.15,10.95,47.67,39.94
quartel geral,21,12.02,8.72,1.54,18.38,10.27,44.23,29.05
queluzito,14.32,6.79,6.31,0.74,12.74,4.6,31.36,18.04
ressaquinha,14.11,10.72,1.99,0.89,13.3,8.17,38.74,31.58
ribeirao vermelho,7.53,5.14,2.39,1.16,6.14,3.56,18.25,14.07
rio doce,19.02,14.39,3,1.41,17.67,11.38,39.54,36.75
ritapolis,12.62,9.57,1.83,1.68,11.15,6.51,34.4,26.34
rochedo de minas,11.57,9.44,2.75,2.25,8.83,6.61,32.61,28.47
romaria,10.35,8.22,2.4,0.87,9.79,7.71,31.41,20.19
rosario da limeira,19.04,13.73,4.99,1.15,21.02,11.93,43.77,38.95
santa barbara do monte verde,19.93,15.09,5.28,2.44,17.79,11.98,45.97,40.65
santa barbara do tugurio,20.59,14.29,3.75,1.76,19.65,10.41,53.44,43.1
santa cruz de salinas,31.04,26.74,5.03,2.17,31.09,22.14,73.8,66.52
santa cruz do escalvado,21.41,15.48,5.35,0.66,20.54,12.45,44.25,36.51
santa efigenia de minas,27.82,19.75,10.49,4.01,28.01,16.52,71.06,54.78
santa fe de minas,26.55,18.53,9.72,4.22,26.87,16.69,62.7,50.93
santa rita de ibitipoca,19.78,17.33,6.42,1.42,19.63,15.38,43.77,41.72
santa rita de jacutinga,15.42,12.31,2.28,1.26,13.29,9.66,37.07,28.08
santa rosa da serra,17.87,12.49,4.38,1.53,15.01,9.66,57.95,37.38
santana de cataguases,15.12,11.33,2.92,1.89,11.14,7.48,43.6,29.2
santana do deserto,14.16,9.51,2.36,0.47,13.45,6.14,36.32,31.09
santana do garambeu,19.9,16.73,3.55,1.57,20.22,12.74,52.45,47.09
santana do jacare,24.43,15.26,6.59,2.01,21.83,10.53,56.9,42.86
santana do riacho,21.44,15.38,4.06,1.4,19.37,12.16,58.58,43.46
santana dos montes,12.71,11.04,2.12,2.98,12.33,8.57,31.99,27.05
santo antonio do aventureiro,18.55,13.6,5,1.4,16.16,10.63,43.61,31.71
santo antonio do grama,19.46,15.12,5.31,1.69,17.78,13.12,45.54,35.97
santo antonio do itambe,31.83,23.09,10.22,2.91,34.93,22.21,67.19,58.61
santo antonio do rio abaixo,20.27,18.59,4.11,2.27,19.64,16.56,47.49,45.9
santo hipolito,23.69,16.76,5.63,1.68,22.41,12.3,56.03,46.57
sao bento abade,17.51,12.91,4.53,2.07,17.59,11.5,51.11,42.89
sao bras do suacui,8.24,4.75,1.72,1.01,6.92,3.46,21.18,13.61
sao felix de minas,31.86,22.35,8.45,1.86,33.6,19.1,68.2,59.43
sao geraldo da piedade,27.61,21.43,5.27,1.82,28.3,17.2,72.19,60.83
sao geraldo do baixio,23.64,20.99,4.46,3.22,22.04,17.19,62.22,57.59
sao goncalo do rio preto,25.73,18.41,8.39,2.01,28.56,17.81,53.33,46.07
sao joao da lagoa,26.86,15.51,8.98,1.84,26.6,14.31,66.34,45.03
sao joao da mata,13.25,10.77,2.6,2.61,11.65,8.2,39.62,30.62
sao joao do pacui,38.48,22.26,12.21,3.77,42.87,19.57,78.26,58.27
sao jose da safira,26.53,23.66,9.35,6.15,27.8,22.57,64.38,65.95
sao jose da varginha,12.45,7.2,4.89,0.71,12.23,6.49,29.25,19.75
sao jose do alegre,11.29,9.48,1.83,0.92,10.12,7.24,29.71,27.17
sao jose do divino,27.65,20.86,6.01,2.55,27.62,17.4,72,57.65
sao jose do mantimento,25.02,16.37,5.74,0.96,25.77,14.48,53.96,41.89
sao sebastiao da bela vista,18.57,14.42,5.05,1.38,18.39,13.08,46.72,36.72
sao sebastiao da vargem alegre,16.91,12.32,4.31,1.29,17.44,11.74,42.06,29.57
sao sebastiao do rio preto,14.32,13.98,2.72,1.86,12.53,10.08,36.84,31.01
sao sebastiao do rio verde,8.88,9.96,0.95,1.16,6.28,6.6,26.55,30.99
sem-peixe,22.3,15.6,3.73,1.11,20.85,11.2,48.95,35.67
senador cortes,16.51,11.93,3.93,1.88,15.47,9.42,36.74,32.34
senador jose bento,13.42,11.98,1.17,0.4,9.66,6.77,39.58,33.61
senador modestino goncalves,28.57,24.18,5.81,2.22,31.86,21.71,65.99,62.0
senhora do porto,26.06,18.77,8.27,3.12,24.19,17.46,50.89,36.69
seritinga,13.88,9.1,2.27,1.01,12.68,6.22,36.73,27.76
serra azul de minas,34.7,26.62,13.4,5.22,37.44,27.14,71.66,67.28
serra da saudade,18.74,13.46,1.23,-,17.92,9.31,54.55,44.04
serranopolis de minas,28.32,23.19,6.19,2.19,29.32,21.49,71,56.44
serranos,19.4,16.77,7.29,2.63,18.15,14.56,41.47,41.28
silveirania,16.22,11.34,5.51,3.03,12.9,8.55,41.88,29.39
simao pereira,12.26,10.86,3.7,2.73,10.24,8.86,33.57,27.73
tabuleiro,18.32,12.76,4.94,2.54,15.73,9.9,43.32,29.49
taparuba,22.58,18.45,5.45,1.68,20.35,13.45,53.93,44.89
tapira,11.81,6.65,2.3,0.94,8.88,4.54,42.94,26.81
tapirai,16.05,12.83,4.26,3.15,13.92,10.21,41.98,29.8
taquaracu de minas,14.21,14.22,4.19,1.78,14.57,12.88,32,33.21
tocos do moji,12.8,10.17,1.42,1.74,11.18,6.83,40.61,30.13
turvolandia,15.51,10.93,4.97,2.51,14.52,8.59,39.05,31.12
umburatiba,28.4,26.83,6.28,4.55,30.84,22.47,67,68.52
uniao de minas,17.52,14.11,3.64,3.19,17.33,11.3,48.88,42.16
uruana de minas,19.24,17.94,3.28,1.28,18.9,13.03,56.06,57.7
vargem bonita,11.33,8.05,2.83,1.53,9.8,6.57,32.07,19.75
vargem grande do rio pardo,34.46,25.27,8.96,2.63,37.8,26.17,81.92,69.68
verissimo,14.33,12.27,4.23,0.93,13.54,10.58,33.33,31.53
vermelho novo,16.83,13.38,5.12,1.98,17.31,12.4,38.34,31.54
vieiras,17.92,14.61,4.62,1.98,16.82,11.69,44.11,40.23
wenceslau braz,13.36,5.53,3.13,2.86,11.4,4.1,37.11,13.3
de 5.001 a 10.000 ,19.98,14.92,5.67,2.19,19.37,12.39,49.67,40.89
abadia dos dourados,13.42,9.12,2.29,0.51,11.18,6.61,41.31,26.4
aiuruoca,17.15,14.07,4.7,1.53,16.05,11.01,37.59,35.11
alfredo vasconcelos,15.93,9.94,3.67,0.85,14.12,6.92,56.86,37.69
alpercata,21.88,16.13,4.9,1.92,20.82,11.59,57.6,48.61
alto caparao,17.22,11.26,7.17,1.4,17.13,10.81,38.84,29.12
alto jequitiba,13.83,10.58,4.42,1.56,13.42,9.32,32.12,26.36
amparo do serra,22.5,16.81,5.59,1.89,20.2,13.49,53.61,40.49
angelandia,33.43,26.01,13.67,3.83,37.6,25.95,79.65,75.21
antonio dias,22.48,15.74,6.86,2.09,23.34,14.45,51.88,41.72
araponga,28.46,22.25,11.99,3.32,30.91,22.1,62.06,57.13
arapora,11.71,8.29,2.42,1.14,11.13,6.58,40.31,30.17
araujos,13.02,8.1,3.57,0.92,11.2,6.24,38.89,27.47
arceburgo,13.56,10.82,2.61,3.12,11.08,8.37,37.66,29.77
baldim,13.65,9.32,2.43,1.73,11.54,7.16,36.14,23.46
bandeira do sul,12.44,9.69,1.61,0.32,10.62,6.25,42.13,36.23
barao de monte alto,19.95,16.37,5.72,2.21,16.68,12.19,47.53,40.36
barra longa,16.71,15.89,4.68,3.08,16.66,12.58,33.97,33.59
belo vale,11.56,8.57,3.24,0.85,9.31,5.68,31.73,25.17
bocaina de minas,22.76,17.66,6.42,2.86,22.18,15.58,50.66,41.55
bom jardim de minas,12.47,11.8,2.99,3.29,10.49,7.55,32.98,32.22
bom jesus do amparo,17.53,10.03,3.82,1.67,15.45,7.96,47.55,27.86
bonfim,14.14,12.55,1.98,2.27,12.79,9.02,32.76,28.51
bonfinopolis de minas,16.6,12.76,2.13,1.87,14.07,7.06,63,45.5
bonito de minas,37.91,27.15,12.04,4.51,43.15,27.57,77.96,69.2
botumirim,22.89,16.93,6.7,2.76,25.64,16.4,58.2,50.32
braunas,24.23,18.5,6.53,2.24,21.74,13.94,49.82,44.0
cabeceira grande,20.87,14.61,4.9,2.48,20.38,11.33,58.33,47.3
cachoeira de pajeu,34.23,27.43,10.02,4.41,36.03,23.74,74.89,68.13
campo florido,13.28,8.62,3.86,1.59,12.76,8.06,33.91,23.18
cana verde,16.28,12.21,2.87,1.14,14.54,8.2,42.5,35.24
caparao,22.41,14.26,10.31,3.2,24,14.14,48.73,39.95
capetinga,14.72,11.37,3.97,2.56,13.46,7.97,38.66,32.2
capim branco,10.71,6.46,3.02,1.35,10.19,5.19,27.88,18.65
capitolio,10.75,7.11,2.52,0.72,8.54,5.17,34.96,21.89
caputira,16.81,13.17,5.75,2.74,16.74,11.49,40.75,33.81
carbonita,26.19,18.91,5.23,2.05,26.81,16.41,65.91,55.4
careacu,14.76,12.92,3.66,0.83,13.21,9.7,41.15,38.42
carneirinho,18.56,11.76,2.9,0.85,15.68,7.78,57.73,39.47
catuji,35.39,24.52,13.57,4.81,39.55,23.95,75.77,64.65
catuti,37.46,27.99,11.48,2.8,45.01,28.71,74.93,68.33
central de minas,25.68,20.01,6.59,2.25,23.73,15.53,58.61,50.46
chale,20.49,16.32,5.69,2.73,19.96,13.41,49.43,43.38
cipotanea,20.72,12.83,5.19,2.39,19.07,9.48,50.99,36.51
claro dos pocoes,20.59,16.85,3.9,2.02,20.03,11.76,63.05,54.67
coimbra,12.57,10.18,3.32,1.13,9.73,7.97,34.66,26.25
coluna,28.95,20.77,9.66,3.52,31.37,20.33,63.37,49.69
comercinho,30.46,23.74,6.4,2.25,31.54,19.53,75.79,61.37
conceicao da aparecida,11.51,8.94,2.27,1.55,9.21,6.48,35.41,26.94
conceicao do para,12.36,9.27,2.61,1.7,10.18,6.75,35.48,25.36
conego marinho,29.63,19.18,7.31,3.19,33.1,14.38,69.23,57.07
confins,9.38,4.92,2.84,0.77,8.59,2.95,29.44,21.65
conquista,12.25,10.34,2.68,1.37,10.64,8.54,34.73,27.86
coqueiral,12.12,8.34,3.2,1.01,9.91,6.39,36.63,24.02
cordisburgo,13.68,10.83,5.03,1.37,12.49,9.31,33.33,26.6
coronel murta,23.76,19.75,4.75,2.5,21.66,16.3,67.61,55.28
corrego fundo,11.86,9.5,3.02,1.63,9.67,6.49,39.45,32.53
crisolita,42.08,35.0,13.03,5.08,46.99,34.17,76.22,79.75
cristalia,29.89,19.55,9.18,2.52,35.2,20.79,74.79,66.35
cristiano otoni,9.4,6.03,2.71,1.06,8.87,4.77,24.61,18.51
curral de dentro,32.26,24.36,8.99,2.77,35.3,21.86,78.65,71.35
datas,13.26,10.63,2.68,1.75,13.64,8.74,31.91,32.57
delfim moreira,12.89,9.19,3.34,1.39,12.05,7.95,33.18,24.34
delfinopolis,16.51,10.3,4.12,1.8,15.06,7.84,41.83,29.52
delta,16.23,13.12,4.28,2.44,16.74,13.08,53.75,47.89
desterro de entre rios,17.52,14.29,4.52,1.46,15.6,11.32,40.52,33.69
dionisio,15.48,11.63,3.31,1.88,14.11,8.95,41.65,30.08
divinolandia de minas,18.12,13.89,5.19,1.85,17.08,12.27,46.05,40.02
divisa alegre,30.95,22.22,10.36,3.29,34.19,21.81,77.09,65.59
divisa nova,16.88,13.91,5.04,2.09,16.54,12.59,36.28,33.08
divisopolis,37.57,25.61,12.79,2.71,41.69,24.94,77.55,67.54
dom cavati,15.67,12.49,2.15,0.85,13.39,7.84,43.23,34.19
dom silverio,11.21,9.94,2.75,1.08,9.18,6.46,27.33,24.85
dona eusebia,12.22,8.59,4.18,0.87,10.36,6.79,33.51,26.13
dores de campos,9.24,7.09,2.72,1.2,9.16,6.29,21.3,17.97
dores de guanhaes,26.52,19.24,5.53,2.73,25.93,15.13,57.97,50.39
durande,21.86,17.85,7.76,2.59,23.43,17.4,49.75,48.32
engenheiro navarro,26.56,17.48,5.23,1.99,29.26,14.38,72.31,55.19
entre folhas,15.93,14.28,2.62,1.5,14.61,10.79,41.31,39.32
estrela do sul,14.52,11.34,3.33,2.04,13.53,9.51,38.62,30.98
felicio dos santos,23.55,17.43,4.81,2.33,21.75,12.03,62.76,51.87
felisburgo,36.16,27.39,13.13,4.19,37.12,23.93,72.88,63.78
florestal,9.14,6.46,2.41,0.42,7.79,5.06,26.24,19.06
formoso,27.84,19.32,6.43,1.89,29.97,18.51,70.42,62.04
franciscopolis,36.4,30.52,11.55,4.53,40.14,30.18,71.19,69.02
frei gaspar,35.19,28.51,13.04,4.58,34.85,26.29,73.66,67.3
frei inocencio,21.98,17.59,4.69,2.55,20.77,13.42,65.29,55.4
fruta de leite,44.79,33.97,15.31,3.43,54.39,35.52,81.46,73.54
galileia,22.65,19.3,6.23,3.29,22.25,16.67,54.19,45.34
gameleiras,35.26,25.44,10.54,2.87,41.87,24.88,77.13,67.0
gonzaga,25.97,19.4,8.38,2.06,25.47,17.37,65.47,55.9
guarani,14.72,11.74,4.83,2.63,13.66,9.1,30.73,29.81
guarda-mor,13.98,10.56,4.92,1.66,12.42,9.06,46.48,32.54
guidoval,15.7,10.95,3.34,1.49,13.95,8.17,38.52,29.64
guimarania,10.17,9.1,2.9,1.93,8.34,7.0,32.73,25.98
guiricema,17.2,12.9,4.44,1.95,15.22,10.21,39.3,30.54
gurinhata,14.03,14.85,3.53,1.45,12.6,11.21,33.14,33.19
heliodora,18.75,12.98,2.82,1.64,16.61,9.31,53.09,38.8
ibertioga,18.42,13.9,5.02,1.4,17.93,11.38,46.35,38.47
ibiai,24.56,18.7,9.74,5.32,25.49,17.24,56.83,49.33
ibiracatu,36.19,25.54,11.4,2.91,38.71,24.05,75.7,65.24
igaratinga,11.28,7.13,3.93,1.24,10.11,6.44,34.82,21.74
iguatama,9.32,5.56,1.66,0.76,8.53,3.99,28.02,17.56
ijaci,12.99,6.87,5.02,0.6,11.58,5.13,36.77,23.04
imbe de minas,22.7,17.28,7.72,2.11,23.65,15.57,54.58,48.06
inconfidentes,12.85,8.55,2.57,0.93,11.03,5.37,40.09,29.59
indaiabira,39.9,32.13,11.35,3.05,46.09,32.4,77.96,75.03
indianopolis,12.94,10.96,4.84,2.01,12.33,10.41,37.2,29.95
inhauma,11.74,8.65,2.29,1.64,10.63,6.85,38.15,27.34
inimutaba,17.12,12.33,3.96,1.56,15.84,10.12,44.38,34.57
ipuiuna,13.87,11.94,3.5,2.06,12.44,9.7,42.82,34.47
irai de minas,12.66,8.59,5.17,1.89,12.38,7.28,35.14,25.51
itapeva,15.65,10.38,3.71,1.23,13.76,7.81,46.55,31.63
itatiaiucu,14.72,9.62,3.17,1.05,14.17,7.24,42.66,32.02
itaverava,17.7,15.56,6.64,1.53,17.58,14.77,41.16,37.82
itueta,20.49,15.34,4.4,2.19,19.2,12.26,48.79,38.08
itumirim,11.82,5.92,2.74,1.06,9.63,4.14,38.43,17.82
jacui,14.31,10.66,2.15,1.12,12.5,7.12,42.02,32.02
